case_type,changed_cells,truth,local_delta,path_touch,topology_dependency
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
multi cell clutter,3,False,True,False,False
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
alternate corridor dependency,1,True,False,False,True
