case_type,changed_cells,truth,local_delta,path_touch,topology_dependency
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single critical corridor,1,True,False,True,True
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
single local clutter,1,False,False,False,False
