method,accuracy,precision,recall,f1
Path touch,0.7857142857142857,1.0,0.5714285714285714,0.7272727272727273
Topology dependency,1.0,1.0,1.0,1.0
"Topology, 10% dependency misses",0.9285714285714286,1.0,0.8571428571428571,0.923076923076923
"Topology, 20% dependency misses",0.8785714285714286,1.0,0.7571428571428571,0.8617886178861789
"Topology, 10% spurious dependencies",0.9464285714285714,0.9032258064516129,1.0,0.9491525423728813
"Topology, 10% miss + 10% spurious",0.875,0.8888888888888888,0.8571428571428571,0.8727272727272727
