code,name,conditions,invalid_rate,precision,recall,f1,unsafe_false_negative,unnecessary_invalidation,cache_retention_precision,replan_cost,topology_recall,dependency_calibration,submission_score
s00,clean,50688,0.65544,0.885547,0.377372,0.529219,0.408095,0.031968,0.433742,0.270144,0.298309,0.568622,0.540122
s01,missed_dependencies,50688,0.65544,0.877623,0.349139,0.499547,0.4266,0.03191,0.422929,0.27012,0.274389,0.559822,0.522447
s02,spurious_dependencies,50688,0.65544,0.869202,0.377372,0.526262,0.408095,0.03722,0.429585,0.27235,0.298309,0.555422,0.536555
s03,mixed_dependency_noise,50688,0.65544,0.868379,0.358729,0.507718,0.420315,0.035638,0.423624,0.271685,0.282548,0.551022,0.525674
s04,adversarial_chokepoint,50688,0.6631,0.88268,0.364514,0.515957,0.42139,0.032126,0.419704,0.270211,0.287911,0.551022,0.529418
s05,adversarial_off_plan_clutter,50688,0.65544,0.865448,0.377372,0.525572,0.408095,0.038455,0.428599,0.272868,0.298309,0.546622,0.53524
s06,delayed_dependency_update,50688,0.65544,0.862921,0.325139,0.472315,0.442331,0.033853,0.412605,0.270936,0.255413,0.544422,0.506061
s07,semantic_dependency_aliasing,50688,0.65544,0.872361,0.361911,0.511585,0.418229,0.034708,0.425574,0.271295,0.285241,0.542222,0.527282
