code,name,conditions,invalid_rate,precision,recall,f1,unsafe_false_negative,unnecessary_invalidation,cache_retention_precision,replan_cost,topology_recall,dependency_calibration,submission_score
q00,in_family,36864,0.656397,0.950162,0.877606,0.912444,0.080339,0.030216,0.795952,0.353299,0.831061,0.790497,0.823003
q01,held_out_workspace,36864,0.656397,0.950081,0.876115,0.9116,0.081318,0.030216,0.793978,0.353299,0.829516,0.784897,0.82156
q02,held_out_plan,36864,0.656397,0.950093,0.876328,0.911721,0.081178,0.030216,0.79426,0.353299,0.829737,0.785697,0.821766
q03,held_out_perturbation,36864,0.656397,0.950069,0.875901,0.911479,0.081458,0.030216,0.793696,0.353299,0.829295,0.784097,0.821354
q04,held_out_noise,36864,0.656397,0.950104,0.876542,0.911842,0.081038,0.030216,0.794542,0.353299,0.829958,0.786497,0.821972
q05,long_horizon,36864,0.656397,0.950046,0.875473,0.911237,0.081739,0.030216,0.793132,0.353299,0.828852,0.782497,0.820941
q06,adversarial_topology,36864,0.656397,0.950011,0.87483,0.910872,0.082161,0.030216,0.792285,0.353299,0.828186,0.780097,0.820322
