code,name,conditions,invalid_rate,precision,recall,f1,unsafe_false_negative,unnecessary_invalidation,cache_retention_precision,replan_cost,topology_recall,dependency_calibration,submission_score
w00,rooms,1536,0.638324,0.949343,0.903986,0.926109,0.061288,0.030791,0.843723,0.338332,0.858128,0.784897,0.845545
w01,corridor_chain,1536,0.664304,0.953713,0.883536,0.917284,0.077367,0.028486,0.798825,0.344864,0.837247,0.784897,0.826241
w02,dual_corridor,1536,0.653349,0.951507,0.885898,0.917531,0.074549,0.029498,0.80968,0.351289,0.839407,0.784897,0.829435
w03,door_bottleneck,1536,0.668766,0.95387,0.8768,0.913713,0.082392,0.028357,0.786145,0.34731,0.830488,0.784897,0.820609
w04,warehouse_aisles,1536,0.647463,0.946984,0.876365,0.910307,0.080049,0.031766,0.800287,0.356242,0.82934,0.784897,0.822616
w05,shelf_maze,1536,0.661241,0.950205,0.865546,0.905902,0.088907,0.029993,0.776432,0.361497,0.81848,0.784897,0.812522
w06,office_suite,1536,0.650203,0.950311,0.886465,0.917279,0.073821,0.030137,0.812391,0.350558,0.839837,0.784897,0.830005
w07,hospital_ward,1536,0.655075,0.948797,0.873704,0.909704,0.082733,0.030887,0.791484,0.354372,0.826699,0.784897,0.819442
w08,apartment,1536,0.658879,0.950569,0.875604,0.911548,0.081962,0.030001,0.791489,0.3525,0.82882,0.784897,0.820572
w09,industrial_cell,1536,0.652338,0.949562,0.877166,0.911929,0.08013,0.030394,0.798364,0.357666,0.830303,0.784897,0.822727
w10,loading_dock,1536,0.656571,0.947661,0.866554,0.905294,0.087617,0.031423,0.780751,0.357098,0.819392,0.784897,0.813944
w11,elevator_lobby,1536,0.667014,0.950985,0.87175,0.909646,0.085544,0.029969,0.779844,0.344487,0.825166,0.784897,0.816831
w12,stair_interface,1536,0.663598,0.952592,0.878251,0.913912,0.080792,0.029005,0.791874,0.349082,0.831778,0.784897,0.822193
w13,manip_workcell,1536,0.653854,0.950406,0.877387,0.912438,0.080171,0.029936,0.797743,0.358473,0.830562,0.784897,0.822644
w14,tabletop_reach,1536,0.641233,0.949496,0.898886,0.923498,0.064838,0.030659,0.834996,0.342777,0.852769,0.784897,0.841032
w15,bin_picking_zone,1536,0.646689,0.947793,0.879981,0.912629,0.077615,0.031346,0.805758,0.355565,0.833025,0.784897,0.825409
w16,cable_routing,1536,0.66199,0.951434,0.869211,0.908466,0.086581,0.029372,0.780929,0.360236,0.822269,0.784897,0.815229
w17,deformable_barrier,1536,0.660225,0.948338,0.862332,0.903292,0.090892,0.031015,0.772573,0.359426,0.81516,0.784897,0.810337
w18,human_hallway,1536,0.655689,0.945698,0.864367,0.903205,0.088933,0.032543,0.778056,0.353068,0.817146,0.784897,0.812497
w19,looped_atrium,1536,0.643371,0.948506,0.889733,0.91818,0.070942,0.031077,0.821076,0.349452,0.843221,0.784897,0.833754
w20,t_junction_forest,1536,0.666122,0.952409,0.869425,0.909027,0.086979,0.028939,0.778068,0.356555,0.822722,0.784897,0.815156
w21,narrow_passage_maze,1536,0.670017,0.952335,0.857548,0.902459,0.095445,0.028758,0.759384,0.365978,0.810734,0.784897,0.805918
w22,multi_robot_chokepoint,1536,0.66833,0.948856,0.851699,0.897656,0.099114,0.030681,0.752279,0.361286,0.804709,0.784897,0.801671
w23,semantic_room_graph,1536,0.648892,0.950263,0.887551,0.917837,0.072968,0.030144,0.814771,0.351061,0.840981,0.784897,0.831115
