code,name,conditions,invalid_rate,precision,recall,f1,unsafe_false_negative,unnecessary_invalidation,cache_retention_precision,replan_cost,topology_recall,dependency_calibration,submission_score
m03,inflated_path_touch,36864,0.656397,0.853721,0.335637,0.48184,0.436086,0.037749,0.412236,0.236063,0.238167,0.495897,0.50971
m02,path_touch,36864,0.656397,0.891371,0.288659,0.436094,0.466922,0.023091,0.407033,0.179506,0.190047,0.450397,0.489748
m01,occupancy_iou,36864,0.656397,0.710987,0.17325,0.278609,0.542677,0.046227,0.353997,0.178024,0.109543,0.310897,0.404609
m00,raw_delta_threshold,36864,0.656397,0.638473,0.144861,0.236144,0.561311,0.053841,0.340466,0.166022,0.088821,0.254397,0.381437
