code,name,conditions,invalid_rate,precision,recall,f1,unsafe_false_negative,unnecessary_invalidation,cache_retention_precision,replan_cost,topology_recall,dependency_calibration,submission_score
u00,cut_edge_closure,3072,0.974729,0.997882,0.938857,0.96747,0.059598,0.001942,0.281314,0.341424,0.964202,0.784897,0.847551
u01,cut_vertex_closure,3072,0.979951,0.998371,0.963597,0.980676,0.035673,0.00154,0.341604,0.341255,0.9856,0.784897,0.868247
u02,off_plan_clutter,3072,0.090235,0.348079,0.502579,0.411298,0.044885,0.084937,0.948391,0.376282,0.517493,0.784897,0.696834
u03,alternate_corridor_loss,3072,0.830626,0.982067,0.892987,0.935411,0.088887,0.013544,0.636774,0.346297,0.919453,0.784897,0.862159
u04,bridge_creation,3072,0.450696,0.887129,0.789074,0.835233,0.095063,0.045248,0.841328,0.359613,0.812509,0.784897,0.83719
u05,bridge_deletion,3072,0.765435,0.972446,0.878805,0.923257,0.092767,0.01906,0.699076,0.348614,0.904882,0.784897,0.862143
u06,landmark_relocation,3072,0.615118,0.932197,0.729492,0.81848,0.166395,0.032638,0.679171,0.354316,0.751034,0.784897,0.792739
u07,semantic_door_relabel,3072,0.685098,0.951558,0.765098,0.848201,0.160931,0.026685,0.641697,0.351816,0.787693,0.784897,0.803359
u08,loop_closure_inconsistency,3072,0.675761,0.954712,0.863484,0.906809,0.092252,0.02768,0.762733,0.352234,0.889081,0.784897,0.861354
u09,map_merge_split,3072,0.803643,0.97737,0.904341,0.939439,0.076875,0.016827,0.70018,0.347676,0.930994,0.784897,0.874186
u10,subgoal_disconnection,3072,0.955817,0.996145,0.960938,0.978225,0.037336,0.003555,0.52111,0.342101,0.983378,0.784897,0.883871
u11,cosmetic_change,3072,0.049656,0.216026,0.493506,0.300508,0.025151,0.088933,0.971631,0.37796,0.507872,0.784897,0.669089
