code,name,conditions,invalid_rate,precision,recall,f1,unsafe_false_negative,unnecessary_invalidation,cache_retention_precision,replan_cost,topology_recall,dependency_calibration,submission_score
q00,in_family,405504,0.656397,0.874092,0.364723,0.514688,0.416994,0.034485,0.425717,0.271201,0.287743,0.557997,0.530128
q01,held_out_workspace,405504,0.656397,0.873096,0.361448,0.511247,0.419144,0.034485,0.42446,0.271201,0.285054,0.552397,0.52785
q02,held_out_plan,405504,0.656397,0.873239,0.361916,0.51174,0.418837,0.034485,0.424639,0.271201,0.285438,0.553197,0.528176
q03,held_out_perturbation,405504,0.656397,0.872952,0.36098,0.510755,0.419451,0.034485,0.424281,0.271201,0.284669,0.551597,0.527524
q04,held_out_noise,405504,0.656397,0.873382,0.362384,0.512232,0.418529,0.034485,0.424818,0.271201,0.285822,0.553997,0.528502
q05,long_horizon,405504,0.656397,0.872664,0.360044,0.509768,0.420065,0.034485,0.423924,0.271201,0.283901,0.549997,0.52687
q06,adversarial_topology,405504,0.656397,0.872229,0.35864,0.508285,0.420987,0.034485,0.423388,0.271201,0.282748,0.547597,0.525889
