code,name,conditions,invalid_rate,precision,recall,f1,unsafe_false_negative,unnecessary_invalidation,cache_retention_precision,replan_cost,topology_recall,dependency_calibration,submission_score
e00,exact_oracle,36864,0.656397,0.963669,0.929431,0.946241,0.046321,0.023,0.873758,0.350268,0.882462,0.865897,0.869335
e01,path_cells_only,36864,0.656397,0.950642,0.731333,0.82669,0.176352,0.024924,0.643755,0.351077,0.691784,0.690397,0.73679
e02,cut_structure,36864,0.656397,0.955085,0.86976,0.910428,0.085489,0.026848,0.787469,0.351885,0.823647,0.789397,0.820048
e03,corridor_skeleton,36864,0.656397,0.951002,0.850768,0.898097,0.097956,0.028773,0.762696,0.352693,0.805638,0.771397,0.805375
e04,region_adjacency,36864,0.656397,0.946832,0.832816,0.886171,0.109739,0.030697,0.740351,0.353501,0.788793,0.762397,0.792675
e05,semantic_landmark,36864,0.656397,0.944494,0.820711,0.878263,0.117685,0.031659,0.726078,0.353905,0.777103,0.744397,0.78367
e06,noisy_learned,36864,0.656397,0.942261,0.834939,0.885359,0.108346,0.033583,0.741026,0.354713,0.790248,0.735397,0.789844
e07,conservative_union,36864,0.656397,0.940237,0.897173,0.9182,0.067495,0.037431,0.81937,0.35633,0.8488,0.753397,0.828488
