code,name,conditions,invalid_rate,precision,recall,f1,unsafe_false_negative,unnecessary_invalidation,cache_retention_precision,replan_cost,topology_recall,dependency_calibration,submission_score
w00,rooms,16896,0.638324,0.878041,0.393692,0.543633,0.387021,0.034906,0.457796,0.25617,0.310965,0.552397,0.552645
w01,corridor_chain,16896,0.664304,0.883635,0.369581,0.521179,0.41879,0.032332,0.420083,0.262588,0.29168,0.552397,0.531973
w02,dual_corridor,16896,0.653349,0.879001,0.372155,0.522916,0.410202,0.033471,0.432939,0.269067,0.29361,0.552397,0.535587
w03,door_bottleneck,16896,0.668766,0.882505,0.362137,0.513542,0.42658,0.032244,0.412076,0.265052,0.285723,0.552397,0.526223
w04,warehouse_aisles,16896,0.647463,0.865429,0.361348,0.509826,0.413503,0.03638,0.433294,0.274289,0.284724,0.552397,0.529247
w05,shelf_maze,16896,0.661241,0.870881,0.34967,0.49899,0.430025,0.034281,0.414536,0.279407,0.27539,0.552397,0.518841
w06,office_suite,16896,0.650203,0.876132,0.372727,0.52297,0.407855,0.034263,0.436189,0.2684,0.293995,0.552397,0.536403
w07,hospital_ward,16896,0.655075,0.869134,0.358439,0.507557,0.42027,0.035355,0.424162,0.272358,0.282433,0.552397,0.525878
w08,apartment,16896,0.658879,0.874021,0.360603,0.51056,0.421285,0.034246,0.421439,0.270392,0.284272,0.552397,0.526747
w09,industrial_cell,16896,0.652338,0.872148,0.362285,0.511921,0.416006,0.034645,0.429365,0.27556,0.285562,0.552397,0.529059
w10,loading_dock,16896,0.656571,0.864475,0.350691,0.498967,0.426317,0.036097,0.418909,0.27517,0.276166,0.552397,0.52041
w11,elevator_lobby,16896,0.667014,0.873757,0.356517,0.506406,0.429212,0.034358,0.410293,0.26244,0.28111,0.552397,0.522701
w12,stair_interface,16896,0.663598,0.879675,0.363654,0.514582,0.422278,0.033009,0.418086,0.266873,0.286851,0.552397,0.52808
w13,manip_workcell,16896,0.653854,0.874361,0.362554,0.51257,0.416797,0.034063,0.428167,0.276316,0.285788,0.552397,0.528946
w14,tabletop_reach,16896,0.641233,0.877169,0.387402,0.537442,0.392818,0.034786,0.451984,0.260619,0.305857,0.552397,0.547898
w15,bin_picking_zone,16896,0.646689,0.868393,0.365341,0.514308,0.410427,0.035806,0.436174,0.273548,0.287947,0.552397,0.53203
w16,cable_routing,16896,0.66199,0.874915,0.353623,0.503672,0.427895,0.033468,0.415793,0.278066,0.278622,0.552397,0.521399
w17,deformable_barrier,16896,0.660225,0.865167,0.346212,0.49453,0.431647,0.035623,0.413363,0.277471,0.272576,0.552397,0.516719
w18,human_hallway,16896,0.655689,0.858742,0.348349,0.495641,0.42728,0.037572,0.41789,0.271289,0.274258,0.552397,0.519034
w19,looped_atrium,16896,0.643371,0.87255,0.376511,0.526035,0.401135,0.035382,0.444705,0.26737,0.297047,0.552397,0.540292
w20,t_junction_forest,16896,0.666122,0.877323,0.353962,0.504414,0.43034,0.03297,0.411499,0.274356,0.27901,0.552397,0.521044
w21,narrow_passage_maze,16896,0.670017,0.874579,0.341373,0.491068,0.441291,0.032801,0.402428,0.283785,0.268852,0.552397,0.511788
w22,multi_robot_chokepoint,16896,0.66833,0.863791,0.335256,0.483035,0.444268,0.035332,0.40013,0.279348,0.263828,0.552397,0.507919
w23,semantic_room_graph,16896,0.648892,0.876333,0.373995,0.524253,0.406209,0.034247,0.438216,0.268893,0.295023,0.552397,0.537532
