code,name,conditions,invalid_rate,precision,recall,f1,unsafe_false_negative,unnecessary_invalidation,cache_retention_precision,replan_cost,topology_recall,dependency_calibration,submission_score
p00,shortest_path,25344,0.6401,0.870221,0.3769,0.525989,0.398846,0.035979,0.448168,0.257329,0.296417,0.552397,0.541402
p01,risk_weighted_path,25344,0.645504,0.87124,0.37197,0.521352,0.405396,0.035485,0.440375,0.261121,0.292829,0.552397,0.537132
p02,homotopy_path,25344,0.656721,0.87232,0.358543,0.508204,0.421258,0.034464,0.422992,0.272692,0.282849,0.552397,0.525898
p03,patrol_loop,25344,0.654046,0.870633,0.357072,0.506438,0.420505,0.034702,0.425349,0.278792,0.281338,0.552397,0.525149
p04,coverage_sweep,25344,0.651964,0.868697,0.354104,0.503122,0.421101,0.034895,0.426482,0.284873,0.278747,0.552397,0.523311
p05,pick_route,25344,0.653714,0.873678,0.367437,0.517312,0.413515,0.03473,0.429691,0.264804,0.289606,0.552397,0.532393
p06,place_route,25344,0.654613,0.873772,0.366402,0.516302,0.414761,0.03465,0.428309,0.26577,0.288831,0.552397,0.531504
p07,inspection_tour,25344,0.654553,0.870772,0.356795,0.506183,0.421012,0.034659,0.42469,0.279774,0.281078,0.552397,0.524749
p08,delivery_chain,25344,0.657849,0.872716,0.358056,0.507781,0.422302,0.034354,0.421583,0.275646,0.282367,0.552397,0.525177
p09,emergency_egress,25344,0.65944,0.873506,0.358277,0.508137,0.423178,0.034213,0.419927,0.271587,0.282822,0.552397,0.525274
p10,human_detour,25344,0.658081,0.873914,0.361569,0.511509,0.420139,0.03433,0.42267,0.270636,0.285207,0.552397,0.52763
p11,handover_route,25344,0.664362,0.876655,0.360996,0.511403,0.42453,0.033744,0.415589,0.26839,0.285174,0.552397,0.526236
p12,semantic_waypoints,25344,0.665713,0.877305,0.361016,0.511533,0.42538,0.033612,0.414122,0.269334,0.285195,0.552397,0.525932
p13,manip_approach,25344,0.66264,0.876196,0.362112,0.512443,0.42269,0.033904,0.417899,0.267457,0.285957,0.552397,0.52726
p14,retreat_retry,25344,0.657122,0.872962,0.359927,0.509701,0.420606,0.034419,0.423088,0.273673,0.283791,0.552397,0.526532
p15,multi_robot_reservation,25344,0.665936,0.874784,0.352668,0.502681,0.431082,0.033617,0.410712,0.277336,0.27865,0.552397,0.52002
