code,name,conditions,invalid_rate,precision,recall,f1,unsafe_false_negative,unnecessary_invalidation,cache_retention_precision,replan_cost,topology_recall,dependency_calibration,submission_score
m00,raw_delta_threshold,36864,0.656397,0.638473,0.144861,0.236144,0.561311,0.053841,0.340466,0.166022,0.088821,0.254397,0.381437
m01,occupancy_iou,36864,0.656397,0.710987,0.17325,0.278609,0.542677,0.046227,0.353997,0.178024,0.109543,0.310897,0.404609
m02,path_touch,36864,0.656397,0.891371,0.288659,0.436094,0.466922,0.023091,0.407033,0.179506,0.190047,0.450397,0.489748
m03,inflated_path_touch,36864,0.656397,0.853721,0.335637,0.48184,0.436086,0.037749,0.412236,0.236063,0.238167,0.495897,0.50971
m04,connectivity_only,36864,0.656397,0.908007,0.354982,0.510418,0.423388,0.023607,0.430458,0.252123,0.28486,0.662897,0.542079
m05,graph_edit_distance,36864,0.656397,0.841854,0.332439,0.476653,0.438185,0.040992,0.408494,0.320625,0.257785,0.601397,0.511674
m06,centrality_change,36864,0.656397,0.855855,0.333298,0.479761,0.437621,0.036847,0.412098,0.305684,0.263456,0.628897,0.517651
m07,semantic_adjacency,36864,0.656397,0.871184,0.310373,0.457687,0.452669,0.030124,0.409162,0.27806,0.222993,0.550397,0.503195
m08,incremental_edge_update,36864,0.656397,0.906835,0.381812,0.537371,0.405777,0.025748,0.43925,0.323822,0.304144,0.676897,0.550897
m09,learned_logistic_surrogate,36864,0.656397,0.90426,0.444502,0.596021,0.364627,0.030892,0.461676,0.389983,0.346257,0.659397,0.573787
m10,plan_topology_dependency,36864,0.656397,0.950081,0.876115,0.9116,0.081318,0.030216,0.793978,0.353299,0.829516,0.784897,0.82156
