code,name,conditions,invalid_rate,precision,recall,f1,unsafe_false_negative,unnecessary_invalidation,cache_retention_precision,replan_cost,topology_recall,dependency_calibration,submission_score
s00,clean,4608,0.65544,0.959055,0.908303,0.932989,0.060102,0.025417,0.841522,0.351283,0.862232,0.801122,0.847932
s01,missed_dependencies,4608,0.65544,0.95592,0.835342,0.891573,0.107924,0.025247,0.747391,0.351212,0.787811,0.792322,0.798404
s02,spurious_dependencies,4608,0.65544,0.943586,0.908303,0.925608,0.060102,0.035593,0.837152,0.355558,0.862232,0.787922,0.840462
s03,mixed_dependency_noise,4608,0.65544,0.946178,0.861627,0.901925,0.090695,0.032124,0.775022,0.354101,0.814658,0.783522,0.809803
s04,adversarial_chokepoint,4608,0.6631,0.957551,0.877448,0.915751,0.081264,0.025793,0.79289,0.351442,0.831721,0.783522,0.824712
s05,adversarial_off_plan_clutter,4608,0.65544,0.940314,0.908303,0.924031,0.060102,0.037789,0.836178,0.35648,0.862232,0.779122,0.838524
s06,delayed_dependency_update,4608,0.65544,0.950092,0.83934,0.891289,0.105303,0.028898,0.749854,0.352746,0.791917,0.776922,0.797283
s07,semantic_dependency_aliasing,4608,0.65544,0.948668,0.870239,0.907763,0.085051,0.030864,0.786705,0.353571,0.823322,0.774722,0.815363
