code,name,conditions,invalid_rate,precision,recall,f1,unsafe_false_negative,unnecessary_invalidation,cache_retention_precision,replan_cost,topology_recall,dependency_calibration,submission_score
u00,cut_edge_closure,33792,0.974729,0.994856,0.407224,0.577897,0.577796,0.002052,0.038632,0.257579,0.349338,0.552397,0.499333
u01,cut_vertex_closure,33792,0.979951,0.996009,0.411283,0.58217,0.576914,0.001615,0.030964,0.257396,0.352984,0.552397,0.500889
u02,off_plan_clutter,33792,0.090235,0.155305,0.204531,0.176551,0.071779,0.100381,0.91854,0.298877,0.175806,0.552397,0.568442
u03,alternate_corridor_loss,33792,0.830626,0.953369,0.357621,0.520134,0.533577,0.014529,0.224927,0.26282,0.309053,0.552397,0.508351
u04,bridge_creation,33792,0.450696,0.739418,0.314384,0.441185,0.309005,0.049934,0.617745,0.27769,0.271665,0.552397,0.571904
u05,bridge_deletion,33792,0.765435,0.928375,0.356043,0.514695,0.492907,0.021026,0.302273,0.265548,0.307346,0.552397,0.523741
u06,landmark_relocation,33792,0.615118,0.835392,0.299514,0.440938,0.430882,0.036303,0.447206,0.271965,0.257747,0.552397,0.525102
u07,semantic_door_relabel,33792,0.685098,0.877941,0.309036,0.457154,0.473378,0.029435,0.376186,0.26908,0.266383,0.552397,0.513694
u08,loop_closure_inconsistency,33792,0.675761,0.882629,0.344617,0.495693,0.442883,0.030968,0.398383,0.269724,0.29781,0.552397,0.537692
u09,map_merge_split,33792,0.803643,0.939739,0.362244,0.522918,0.512528,0.018668,0.25744,0.264558,0.31297,0.552397,0.517585
u10,subgoal_disconnection,33792,0.955817,0.990289,0.405425,0.575316,0.568305,0.0038,0.066344,0.258313,0.348377,0.552397,0.505144
u11,cosmetic_change,33792,0.049656,0.085945,0.199026,0.12005,0.039773,0.105107,0.955059,0.300862,0.171167,0.552397,0.562322
